<<,Price
^,1519315200,4.680000
^,1519228800,4.670000
^,1519142400,4.670000
^,1519056000,4.700000
^,1518796800,4.700000
^,1518710400,4.640000
^,1518624000,4.600000
^,1518537600,4.580000
^,1518451200,4.580000
^,1518192000,4.600000
^,1518105600,4.590000
^,1518019200,4.600000
^,1517932800,4.500000
^,1517846400,4.690000
^,1517587200,4.700000
^,1517500800,4.690000
^,1517414400,4.700000
^,1517328000,4.720000
^,1517241600,4.780000
^,1516896000,4.790000
^,1516809600,4.800000
^,1516723200,4.810000
^,1516636800,4.810000
^,1516377600,4.810000
^,1516291200,4.780000
^,1516204800,4.800000
^,1516118400,4.810000
^,1516032000,4.810000
^,1515772800,4.800000
^,1515686400,4.830000
^,1515600000,4.850000
^,1515513600,4.870000
^,1515427200,4.870000
^,1515168000,4.850000
^,1515081600,4.850000
^,1514995200,4.850000
^,1514908800,4.820000
^,1514563200,4.880000
^,1514476800,4.900000
^,1514390400,4.880000
^,1513958400,4.880000
^,1513872000,4.850000
^,1513785600,4.850000
^,1513699200,4.860000
^,1513612800,4.840000
^,1513353600,4.830000
^,1513267200,4.790000
^,1513180800,4.800000
^,1513094400,4.820000
^,1513080000,4.600583
^,1513008000,4.790000
^,1512748800,4.790000
^,1512662400,4.780000
^,1512576000,4.770000
^,1512489600,4.720000
^,1512403200,4.760000
^,1512144000,4.710000
^,1512057600,4.710000
^,1511971200,4.760000
^,1511884800,4.700000
^,1511798400,4.720000
^,1511539200,4.750000
^,1511452800,4.850000
^,1511280000,4.840000
^,1511193600,4.800000
^,1510934400,4.790000
^,1510848000,4.770000
^,1510761600,4.760000
^,1510675200,4.770000
^,1510588800,4.690000
^,1510329600,4.660000
^,1509724800,4.650000
^,1509638400,4.640000
^,1509552000,4.630000
^,1509465600,4.650000
^,1509379200,4.610000
^,1509033600,4.650000
^,1508947200,4.660000
^,1508860800,4.630000
^,1508774400,4.650000
^,1508428800,4.660000
^,1508256000,4.640000
^,1508169600,4.610000
^,1507910400,4.550000
^,1507824000,4.540000
^,1507737600,4.530000
^,1507651200,4.560000
^,1507305600,4.540000
^,1507219200,4.510000
^,1507132800,4.550000
^,1507046400,4.530000
^,1506960000,4.540000
^,1506700800,4.510000
^,1506528000,4.550000
^,1506355200,4.500000
^,1506096000,4.550000
^,1506009600,4.500000
^,1505836800,4.510000
^,1505750400,4.500000
^,1505491200,4.540000
^,1505404800,4.550000
^,1505318400,4.520000
^,1505232000,4.500000
^,1505145600,4.480000
^,1504800000,4.490000
^,1504627200,4.500000
^,1504540800,4.520000
^,1504281600,4.500000
^,1504195200,4.490000
^,1504108800,4.480000
^,1504022400,4.500000
^,1503936000,4.530000
^,1503676800,4.500000
^,1503504000,4.510000
^,1503417600,4.490000
^,1503331200,4.480000
^,1503072000,4.510000
^,1502985600,4.530000
^,1502812800,4.500000
^,1502798400,4.398827
^,1502726400,4.540000
^,1502380800,4.550000
^,1502294400,4.560000
^,1502208000,4.590000
^,1502121600,4.580000
^,1501862400,4.550000
^,1501689600,4.520000
^,1501603200,4.540000
^,1501516800,4.530000
^,1501257600,4.510000
^,1500998400,4.530000
^,1500912000,4.500000
^,1500652800,4.520000
^,1500566400,4.480000
^,1500480000,4.520000
^,1500393600,4.460000
^,1500307200,4.520000
^,1500048000,4.530000
^,1499961600,4.560000
^,1499875200,4.500000
^,1499788800,4.540000
^,1499702400,4.500000
^,1499443200,4.510000
^,1499356800,4.590000
^,1499270400,4.510000
^,1499097600,4.500000
^,1498838400,4.540000
^,1498752000,4.500000
^,1498665600,4.510000
^,1498579200,4.500000
^,1498492800,4.510000
^,1498233600,4.450000
^,1498147200,4.490000
^,1498060800,4.450000
^,1497974400,4.480000
^,1497888000,4.490000
^,1497628800,4.440000
^,1497614400,4.337310
^,1497542400,4.450000
^,1497456000,4.440000
^,1497369600,4.420000
^,1497024000,4.390000
^,1496937600,4.440000
^,1496851200,4.430000
^,1496764800,4.390000
^,1496678400,4.400000
^,1496419200,4.450000
^,1496246400,4.480000
^,1496160000,4.450000
^,1496073600,4.480000
^,1495814400,4.460000
^,1495728000,4.560000
^,1495641600,4.600000
^,1495555200,4.630000
^,1495468800,4.640000
^,1495209600,4.600000
^,1495123200,4.560000
^,1495036800,4.570000
^,1494864000,4.580000
^,1494604800,4.570000
^,1494432000,4.600000
^,1494345600,4.570000
^,1494259200,4.550000
^,1494000000,4.590000
^,1493913600,4.570000
^,1493827200,4.600000
^,1493740800,4.630000
^,1493654400,4.600000
^,1493395200,4.570000
^,1493308800,4.540000
^,1493222400,4.550000
^,1493049600,4.500000
^,1492790400,4.530000
^,1492617600,4.490000
^,1492531200,4.500000
^,1492099200,4.510000
^,1492012800,4.520000
^,1491926400,4.570000
^,1491840000,4.510000
^,1491580800,4.550000
^,1491494400,4.500000
^,1491408000,4.550000
^,1491321600,4.580000
^,1491235200,4.490000
^,1490976000,4.480000
^,1490803200,4.500000
^,1490716800,4.520000
^,1490630400,4.460000
^,1490371200,4.500000
^,1490284800,4.410000
^,1490198400,4.380000
^,1490112000,4.430000
^,1490025600,4.470000
^,1489766400,4.520000
^,1489680000,4.530000
^,1489593600,4.510000
^,1489507200,4.520000
^,1489420800,4.510000
